image_filepath,social-media-channel
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_blackeb1/yellow-deer77/photos/2025-02-12T09-48-20_image_picker_04F99431-8BC8-4A0D-A5BD-8FF5906A1333-40100-000005A9747A4EB6.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG1/white-kakapo83/photos/2025-02-25T21-15-19_image_picker_CA026638-F673-4413-88F4-066C3D0F0DCE-8093-000003445EA18A3C.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/red-loquat65/photos/2025-03-04T18-41-10_image_picker_9E97F8F9-FD29-4A6D-AB6A-36A94510525A-66054-00001C5B9E3E9498.png,Instagram
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG1/white-grape44/photos/2025-03-04T20-53-06_image_picker_8299F097-134E-4335-BB6F-92A05F9F08F5-26830-000022F06D869540.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/pink-tamarind77/photos/2025-03-19T21-29-00_image_picker_AF0B2982-BF2C-4BFC-8C57-2AA4794B6A2B-34492-000030D691931F7B.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_StRagn/aqua-blueberry13/photos/2025-02-02T14-54-13_image_picker_F3A05B53-948B-498C-8784-9E8907D41176-10424-000002E1155D766C.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG1/brown-melon19/photos/2025-02-21T23-58-03_scaled_Screenshot_20250221_225253_TikTok.jpg,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG1/gray-giraffe54/photos/2025-03-06T07-16-36_image_picker_03AA2FB2-F0AD-4ED9-BCD0-5D3EBBAD4893-13201-0000021AFF67F1E4.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_blackeb1/fushsia-strawberry25/photos/2025-03-03T21-59-41_image_picker_0B998959-54C1-4E06-BB73-F596AC84FF10-17483-00000A7A3D32F222.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_2PAFG/gray-peach63/photos/2025-03-03T22-51-33_image_picker_021DA4DB-3CB3-4D1E-8815-52B781B6BE07-25394-0000080AAF254143.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_2PAFG/maroon-panda0/photos/2025-02-21T12-15-25_image_picker_D0304E7B-2BEF-4C91-B318-08CC70D8B51A-19317-00000BA73F75838C.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/red-loquat65/photos/2025-03-06T20-00-47_image_picker_5913FB80-6B84-4A96-9C79-F14B1B3B9B2B-81675-00001EFA54B3DEE0.png,Instagram
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_2PAFG/red-gorilla93/photos/2025-03-06T15-32-50_image_picker_C09BFA14-92B1-4554-B0F9-2B88CFF4DC86-1932-000000AEE4EAD935.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG1/pink-avocado19/photos/2025-03-04T13-01-35_image_picker_BE3800DD-5E41-4DDB-BAAF-004027A4EDEE-24978-000008A3D1B7C632.jpg,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_blackeb1/brown-snake30/photos/2025-02-23T20-09-55_image_picker_695B13EA-DE62-4D55-8C60-A8F4ECDF82F4-15786-00000B76089CFDAC.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_blackeb1/brown-snake30/photos/2025-02-22T00-24-34_image_picker_625C1A20-42AF-4904-9083-D3B3A0248E9A-13209-000008FCB5BABBA6.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG1/silver-mango29/photos/2025-02-28T15-16-39_image_picker_140D5E33-5690-4F46-BB03-307704733724-14353-000002B5383AE81E.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/pink-tamarind77/photos/2025-03-27T14-00-44_image_picker_8A3EF719-4A14-4B18-A382-97E4EDA09EB1-72250-000036FE2B5BAE7F.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/pink-tamarind77/photos/2025-03-17T21-26-53_image_picker_C5B12A62-5D2B-4EEC-9453-B34D74EC666D-22202-00002EC46C00248A.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG1/silver-banana85/photos/2025-03-07T18-01-19_image_picker_796960B7-7B00-4F77-A2E8-0E5BF9AE36FE-798-0000012F5A41B089.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG1/white-grape44/photos/2025-02-26T19-34-08_image_picker_BA6074B5-2368-4697-BC12-2010DB3A691E-83815-00001C30B271DB4B.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_2akalla/green-fox30/photos/2025-02-19T18-58-38_scaled_1000007644.jpg,YouTube
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_2PAFG/red-damson18/photos/2025-03-08T10-02-47_image_picker_3C2F88C7-EBF9-4E84-B557-571845A3197C-46377-000018AD8F155300.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/pink-tamarind77/photos/2025-03-27T14-00-42_image_picker_107ADD46-006C-47F6-88FB-0FB431FB02AA-72250-000036FE29952168.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/pink-tamarind77/photos/2025-03-03T16-11-35_image_picker_955C35A6-4217-4237-896E-4A077244FAFF-58199-000025746582DD53.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG1/silver-mango29/photos/2025-03-04T18-12-55_image_picker_A454C0B5-3EEB-4D56-A7B6-6632EE0475C0-52221-0000094AA6A7F281.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG1/white-grape44/photos/2025-03-01T20-01-06_image_picker_D4B98324-6515-4824-9462-E2EC9523376A-1951-00001F2862D2B56A.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_2PAFG/violet-pear65/photos/2025-02-22T16-30-44_image_picker_0C6A2916-8BBD-4E46-ACE6-124EB566AC7A-63010-000009F7A532D4B2.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/pink-tamarind77/photos/2025-03-19T21-29-06_image_picker_0F6FF0C5-D44A-4942-84D2-EB09F3ABA208-34492-000030D695FE163E.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG3/lime-quince26/photos/2025-02-25T21-13-05_image_picker_40F67FC9-FABD-4780-92E4-C88CA461D291-49705-00000691E3440EC8.png,Instagram
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG1/silver-mango29/photos/2025-03-02T10-21-09_image_picker_1845A22A-7865-4911-844A-F453799A4225-27824-000005CD343B2951.png,TikTok
/home/ioankots/projects/CNN/datasets/digital-ads/mobile-sense/25_PAFG1/pink-hamster80/photos/2025-02-21T10-33-30_image_picker_D14F3E48-BD77-48C6-A786-AB285FB795F8-89651-00000DF57511AE09.png,Instagram
